experiment_id,method,problem_id,dataset,complexity,word_count,equation_steps,requires_reasoning,runtime_seconds,memory_mb,peak_memory_mb,accuracy,efficiency_score,gpu_utilization,inference_steps,timestamp
wo_cv_1548,w/o CV,prob_5848,MAWPS,L2,93,3,True,3.198,313.3,357.6,0.726,0.206,0.736,8,2025-04-16T18:33:06.926068
wo_mlr_1448,w/o MLR,prob_2224,ASDiv,L1,55,1,True,1.81,265.7,321.8,0.691,0.291,0.802,1,2025-04-29T05:36:20.327362
wo_mlr_1050,w/o MLR,prob_9253,Math23K,L2,100,4,True,3.455,313.0,345.4,0.793,0.185,0.799,8,2025-04-16T11:05:55.784300
mlr_only_0154,MLR only,prob_6868,Math23K,L3,108,7,True,4.568,331.3,396.4,0.66,0.1,0.801,12,2025-04-04T08:01:04.841177
ird_only_0781,IRD only,prob_8975,SVAMP,L0,45,1,False,0.658,200,275.8,0.769,1.094,0.91,1,2025-04-06T16:27:02.880044
cot-dir_full_3455,COT-DIR (Full),prob_3253,SVAMP,L2,114,5,True,5.208,317.0,376.7,0.917,0.243,0.872,17,2025-04-06T19:25:11.127254
wo_cv_3884,w/o CV,prob_7870,DIR-MWP-Test,L0,41,1,False,1.272,230.0,266.9,0.776,0.633,0.913,1,2025-04-21T20:30:18.701230
ird_only_2088,IRD only,prob_9179,MAWPS,L1,57,3,True,1.434,203.2,250.0,0.658,0.296,0.909,5,2025-04-15T12:09:08.878804
wo_ird_2130,w/o IRD,prob_4224,DIR-MWP-Test,L2,117,3,True,3.219,285.4,360.9,0.851,0.259,0.701,6,2025-04-03T04:50:42.079857
wo_mlr_3247,w/o MLR,prob_8016,SVAMP,L2,74,5,True,3.787,318.7,374.2,0.783,0.143,0.906,11,2025-04-19T17:24:30.875110
wo_cv_4512,w/o CV,prob_5905,ASDiv,L0,30,2,False,0.813,230.7,276.7,0.775,0.954,0.744,4,2025-04-30T17:05:09.257910
ird_only_2252,IRD only,prob_5466,MAWPS,L2,94,3,True,2.201,237.4,293.0,0.61,0.116,0.732,3,2025-04-17T03:29:34.227568
wo_cv_4020,w/o CV,prob_9765,DIR-MWP-Test,L0,42,2,False,1.31,237.9,275.7,0.816,0.589,0.795,4,2025-04-01T10:15:35.669332
wo_ird_4104,w/o IRD,prob_3016,MathQA,L1,59,2,False,1.895,260.1,343.2,0.706,0.385,0.931,3,2025-04-19T04:49:30.392167
cot-dir_full_1163,COT-DIR (Full),prob_4774,MathQA,L1,57,2,False,2.58,263.1,343.7,0.797,0.317,0.872,2,2025-04-30T19:03:02.659886
wo_cv_0848,w/o CV,prob_7326,MATH,L0,18,2,False,1.02,217.0,272.4,0.79,0.857,0.943,2,2025-04-12T02:01:22.406146
cv_only_1723,CV only,prob_3821,MathQA,L1,63,3,True,1.253,208.1,288.4,0.678,0.446,0.921,3,2025-04-16T12:22:23.458625
cot-dir_full_2093,COT-DIR (Full),prob_1351,MAWPS,L1,76,3,False,3.137,292.4,349.9,0.871,0.361,0.804,6,2025-04-24T15:00:43.097928
cv_only_3461,CV only,prob_3305,SVAMP,L1,46,2,False,1.072,230.6,300.7,0.683,0.592,0.75,3,2025-04-09T13:09:35.500154
ird_only_1402,IRD only,prob_7835,MathQA,L2,85,5,True,2.31,271.9,316.5,0.589,0.108,0.914,7,2025-04-01T03:44:52.301062
wo_mlr_0263,w/o MLR,prob_0383,GSM8K,L1,68,1,True,1.829,241.8,317.3,0.668,0.237,0.916,1,2025-04-29T23:08:48.322904
mlr_only_2315,MLR only,prob_5918,ASDiv,L3,129,7,True,4.665,310.4,432.1,0.64,0.1,0.779,12,2025-04-13T01:19:05.300787
wo_mlr_4015,w/o MLR,prob_0815,MATH,L2,104,5,True,4.231,327.0,426.7,0.712,0.1,0.851,10,2025-04-06T23:58:43.530344
cot-dir_full_4138,COT-DIR (Full),prob_3280,MAWPS,L0,27,2,False,1.639,243.1,337.1,0.832,0.619,0.77,3,2025-04-14T12:31:46.585531
cot-dir_full_2617,COT-DIR (Full),prob_7442,MAWPS,L3,104,5,True,6.374,359.6,473.3,0.768,0.256,0.732,14,2025-04-06T15:16:06.069160
mlr_only_0636,MLR only,prob_9675,MathQA,L2,119,4,True,2.803,287.4,334.4,0.71,0.115,0.93,8,2025-04-19T06:36:14.481717
cv_only_0208,CV only,prob_5126,ASDiv,L0,39,2,False,0.589,203.2,246.7,0.63,0.992,0.707,1,2025-04-14T04:52:30.624454
ird_only_0678,IRD only,prob_1632,MAWPS,L3,129,6,True,3.836,281.8,392.5,0.505,0.1,0.757,9,2025-04-13T03:56:56.532766
wo_ird_2426,w/o IRD,prob_6638,ASDiv,L2,114,5,True,3.824,272.4,317.8,0.691,0.223,0.731,12,2025-04-04T03:55:47.155976
ird_only_0741,IRD only,prob_7472,DIR-MWP-Test,L2,101,5,True,2.477,275.5,314.4,0.645,0.151,0.935,9,2025-04-16T05:16:18.585070
cot-dir_full_2259,COT-DIR (Full),prob_8381,GSM8K,L2,83,3,True,4.034,311.9,380.8,0.825,0.209,0.859,11,2025-04-15T17:31:17.614313
cot-dir_full_3218,COT-DIR (Full),prob_1316,ASDiv,L0,43,2,False,1.289,239.4,275.4,0.776,0.675,0.784,3,2025-04-20T19:44:03.198808
wo_cv_4608,w/o CV,prob_1876,GSM8K,L3,133,7,True,6.026,376.8,459.5,0.778,0.131,0.904,14,2025-04-20T19:23:55.586604
ird_only_2312,IRD only,prob_0040,SVAMP,L1,42,1,False,0.914,246.9,290.1,0.75,0.673,0.715,1,2025-04-14T19:36:20.702367
mlr_only_0769,MLR only,prob_0899,SVAMP,L3,144,7,True,4.88,312.5,359.8,0.649,0.126,0.736,11,2025-04-02T01:16:57.539480
wo_cv_2138,w/o CV,prob_7709,GSM8K,L2,101,3,True,3.131,336.3,430.0,0.794,0.276,0.802,5,2025-04-12T08:46:36.651897
wo_cv_4364,w/o CV,prob_4816,MATH,L0,19,1,False,1.201,258.0,329.3,0.88,0.829,0.826,1,2025-04-19T08:59:07.722600
mlr_only_4001,MLR only,prob_1819,MathQA,L2,87,3,True,2.596,261.8,325.6,0.655,0.224,0.891,6,2025-04-24T11:28:20.461639
wo_cv_3231,w/o CV,prob_5862,DIR-MWP-Test,L3,125,8,True,6.283,339.2,437.5,0.626,0.1,0.757,15,2025-04-13T03:38:57.484822
