experiment_id,method,problem_id,dataset,complexity,word_count,equation_steps,requires_reasoning,runtime_seconds,memory_mb,peak_memory_mb,accuracy,efficiency_score,gpu_utilization,inference_steps,timestamp
claude_3.5_sonnet_0001,Claude-3.5-Sonnet,prob_0001,SVAMP,L1,90,1,False,1.5,237.8,291.5,0.357,0.812,0.917,1,2025-06-23T00:30:00.532754
claude_3.5_sonnet_0002,Claude-3.5-Sonnet,prob_0002,SVAMP,L1,42,3,False,1.485,231.6,276.7,0.508,0.884,0.784,3,2025-06-23T00:30:00.532762
claude_3.5_sonnet_0003,Claude-3.5-Sonnet,prob_0003,Math23K,L1,79,3,False,1.449,218.6,256.1,0.49,0.905,0.741,4,2025-06-23T00:30:00.532766
claude_3.5_sonnet_0004,Claude-3.5-Sonnet,prob_0004,GSM8K,L2,127,5,True,2.149,255.2,319.1,0.737,0.834,0.81,8,2025-06-23T00:30:00.532770
claude_3.5_sonnet_0005,Claude-3.5-Sonnet,prob_0005,MATH,L3,21,5,True,2.597,259.6,316.4,0.388,0.646,0.874,8,2025-06-23T00:30:00.532774
claude_3.5_sonnet_0006,Claude-3.5-Sonnet,prob_0006,MATH,L1,106,1,False,1.24,264.8,304.2,0.581,0.946,0.881,3,2025-06-23T00:30:00.532777
claude_3.5_sonnet_0007,Claude-3.5-Sonnet,prob_0007,Math23K,L1,108,3,False,1.508,256.3,302.5,0.516,0.851,0.71,4,2025-06-23T00:30:00.532780
claude_3.5_sonnet_0008,Claude-3.5-Sonnet,prob_0008,SVAMP,L2,51,2,True,2.916,252.9,316.7,0.543,0.693,0.925,2,2025-06-23T00:30:00.532784
claude_3.5_sonnet_0009,Claude-3.5-Sonnet,prob_0009,MATH,L3,112,8,True,2.181,265.8,314.7,0.422,0.693,0.894,11,2025-06-23T00:30:00.532787
claude_3.5_sonnet_0010,Claude-3.5-Sonnet,prob_0010,Math23K,L1,78,2,False,1.857,249.0,282.1,0.294,0.704,0.742,4,2025-06-23T00:30:00.532791
claude_3.5_sonnet_0011,Claude-3.5-Sonnet,prob_0011,AddSub,L1,91,2,False,1.826,259.2,335.2,0.768,0.887,0.936,3,2025-06-23T00:30:00.532794
claude_3.5_sonnet_0012,Claude-3.5-Sonnet,prob_0012,MATH,L1,88,3,False,1.925,226.4,274.7,0.729,0.897,0.735,5,2025-06-23T00:30:00.532797
claude_3.5_sonnet_0013,Claude-3.5-Sonnet,prob_0013,SVAMP,L1,82,1,False,1.517,233.2,259.0,0.881,1.023,0.723,2,2025-06-23T00:30:00.532800
claude_3.5_sonnet_0014,Claude-3.5-Sonnet,prob_0014,MATH,L3,76,3,True,2.368,282.8,356.5,0.625,0.738,0.815,4,2025-06-23T00:30:00.532805
claude_3.5_sonnet_0015,Claude-3.5-Sonnet,prob_0015,GSM8K,L3,100,3,True,1.7,257.1,306.4,0.326,0.734,0.865,4,2025-06-23T00:30:00.532809
claude_3.5_sonnet_0016,Claude-3.5-Sonnet,prob_0016,GSM8K,L3,100,6,True,3.123,286.3,365.5,0.76,0.734,0.775,6,2025-06-23T00:30:00.532812
claude_3.5_sonnet_0017,Claude-3.5-Sonnet,prob_0017,SVAMP,L2,87,3,True,2.013,259.1,294.6,0.574,0.782,0.914,6,2025-06-23T00:30:00.532815
claude_3.5_sonnet_0018,Claude-3.5-Sonnet,prob_0018,SingleEq,L2,129,5,True,1.727,255.3,285.5,0.445,0.778,0.761,7,2025-06-23T00:30:00.532819
claude_3.5_sonnet_0019,Claude-3.5-Sonnet,prob_0019,GSM8K,L3,55,3,True,2.217,265.5,292.3,0.241,0.617,0.74,3,2025-06-23T00:30:00.532822
claude_3.5_sonnet_0020,Claude-3.5-Sonnet,prob_0020,AddSub,L1,48,1,False,2.018,218.8,270.7,0.67,0.872,0.875,4,2025-06-23T00:30:00.532825
claude_3.5_sonnet_0021,Claude-3.5-Sonnet,prob_0021,MAWPS,L2,118,5,True,1.59,273.3,337.1,0.838,0.944,0.908,6,2025-06-23T00:30:00.532828
claude_3.5_sonnet_0022,Claude-3.5-Sonnet,prob_0022,MATH,L3,22,8,True,2.035,268.7,336.6,0.421,0.707,0.724,9,2025-06-23T00:30:00.532832
claude_3.5_sonnet_0023,Claude-3.5-Sonnet,prob_0023,SingleEq,L2,107,4,True,1.769,255.2,297.0,0.748,0.892,0.934,7,2025-06-23T00:30:00.532835
claude_3.5_sonnet_0024,Claude-3.5-Sonnet,prob_0024,GSM8K,L2,87,3,True,1.984,265.3,332.9,0.51,0.753,0.925,6,2025-06-23T00:30:00.532839
claude_3.5_sonnet_0025,Claude-3.5-Sonnet,prob_0025,Math23K,L3,96,4,True,2.679,278.0,339.0,0.45,0.646,0.834,6,2025-06-23T00:30:00.532843
claude_3.5_sonnet_0026,Claude-3.5-Sonnet,prob_0026,MATH,L2,20,4,True,1.484,255.7,306.3,0.138,0.707,0.885,4,2025-06-23T00:30:00.532911
claude_3.5_sonnet_0027,Claude-3.5-Sonnet,prob_0027,Math23K,L1,112,2,False,2.122,257.5,314.6,0.739,0.835,0.892,4,2025-06-23T00:30:00.532915
claude_3.5_sonnet_0028,Claude-3.5-Sonnet,prob_0028,GSM8K,L3,40,3,True,2.917,259.0,303.7,0.197,0.548,0.825,3,2025-06-23T00:30:00.532919
claude_3.5_sonnet_0029,Claude-3.5-Sonnet,prob_0029,AddSub,L2,52,5,True,1.471,235.9,288.3,0.338,0.814,0.888,5,2025-06-23T00:30:00.532922
