experiment_id,method,problem_id,dataset,complexity,word_count,equation_steps,requires_reasoning,runtime_seconds,memory_mb,peak_memory_mb,accuracy,efficiency_score,gpu_utilization,inference_steps,timestamp
ird__cv_0063,IRD + CV,prob_8852,GSM8K,L0,28,1,False,1.376,239.7,344.5,0.808,0.765,0.827,1,2025-06-20T15:27:35.633481
ird__cv_3152,IRD + CV,prob_9682,ASDiv,L3,133,6,True,5.477,469.7,601.9,0.667,0.147,0.914,21,2025-06-28T19:59:12.491991
ird__cv_1235,IRD + CV,prob_4345,MATH,L2,122,4,True,3.559,351.6,422.7,0.815,0.411,0.912,9,2025-06-13T05:00:44.458906
ird__mlr_0394,IRD + MLR,prob_4147,MAWPS,L1,53,3,True,2.049,298.8,409.1,0.779,0.425,0.733,7,2025-06-05T02:58:03.485349
ird__mlr_5068,IRD + MLR,prob_7591,Math23K,L1,68,4,False,2.028,323.8,397.6,0.742,0.44,0.814,7,2025-07-01T20:40:06.946470
ird__cv_1626,IRD + CV,prob_6803,GSM8K,L1,54,4,False,1.852,268.7,398.3,0.875,0.651,0.785,7,2025-06-22T11:32:24.136101
ird__mlr__cv_1194,IRD + MLR + CV,prob_11505,MAWPS,L1,50,3,False,2.089,361.7,536.5,0.762,0.412,0.743,2,2025-06-17T17:43:05.300323
ird__mlr_0540,IRD + MLR,prob_10134,MATH,L0,47,1,False,1.321,264.0,341.0,0.792,0.731,0.886,3,2025-06-22T00:50:48.821667
ird__mlr_3987,IRD + MLR,prob_6373,MathQA,L1,67,3,False,1.612,293.8,406.5,0.74,0.517,0.711,2,2025-06-20T12:22:00.701370
ird__cv_1957,IRD + CV,prob_11231,ASDiv,L1,77,2,True,2.042,294.6,423.6,0.853,0.494,0.754,3,2025-06-20T06:07:44.149079
ird__mlr__cv_4202,IRD + MLR + CV,prob_5514,GSM8K,L3,130,5,True,6.454,548.8,809.8,0.621,0.236,0.899,29,2025-06-14T22:21:10.684763
ird__mlr_6297,IRD + MLR,prob_2191,MAWPS,L0,23,1,False,0.755,263.1,340.9,0.908,1.3,0.932,1,2025-06-26T06:13:45.274971
ird__mlr__cv_4256,IRD + MLR + CV,prob_2893,SVAMP,L0,50,1,False,1.495,277.0,395.1,0.868,0.651,0.733,3,2025-06-20T14:51:43.719244
ird__mlr__cv_3395,IRD + MLR + CV,prob_7871,MAWPS,L1,53,2,False,2.472,353.1,421.0,0.822,0.472,0.751,2,2025-06-11T02:46:32.853353
mlr__cv_3480,MLR + CV,prob_10527,Math23K,L1,67,4,False,2.072,280.6,390.7,0.729,0.454,0.835,7,2025-07-09T23:48:22.797222
ird__mlr_6670,IRD + MLR,prob_5146,MAWPS,L3,136,9,True,6.804,484.6,623.9,0.576,0.266,0.701,42,2025-07-09T14:35:13.753367
ird__cv_2259,IRD + CV,prob_10242,MathQA,L1,84,2,True,2.16,282.0,392.5,0.809,0.495,0.899,5,2025-07-03T21:21:46.454039
ird__mlr__cv_3739,IRD + MLR + CV,prob_10513,DIR-MWP-Test,L3,128,7,True,7.486,540.5,749.4,0.671,0.165,0.863,40,2025-07-01T16:26:45.851539
ird__cv_6534,IRD + CV,prob_3098,DIR-MWP-Test,L0,57,1,False,1.474,270.5,389.1,0.825,0.711,0.841,1,2025-06-14T13:18:44.148477
mlr__cv_4727,MLR + CV,prob_10956,GSM8K,L3,146,9,True,6.484,450.4,559.9,0.563,0.17,0.725,41,2025-07-04T08:08:47.218563
ird__mlr__cv_0377,IRD + MLR + CV,prob_7662,Math23K,L0,42,2,False,1.858,272.4,338.7,0.849,0.567,0.922,3,2025-06-08T15:18:50.293455
ird__cv_3447,IRD + CV,prob_2401,MAWPS,L2,86,3,True,2.77,360.7,458.9,0.767,0.39,0.898,9,2025-06-07T04:30:10.265079
ird__mlr_3358,IRD + MLR,prob_8673,MATH,L1,54,2,True,1.719,302.5,428.5,0.743,0.546,0.833,4,2025-07-02T11:34:42.355171
ird__mlr_0667,IRD + MLR,prob_4808,GSM8K,L0,52,2,False,1.279,293.1,337.0,0.876,0.76,0.937,3,2025-07-06T15:52:49.408292
ird__mlr_6754,IRD + MLR,prob_5464,MathQA,L2,108,6,True,3.503,348.0,404.0,0.745,0.247,0.758,23,2025-07-09T14:15:28.903864
ird__mlr_4559,IRD + MLR,prob_7979,SVAMP,L3,128,7,True,5.699,468.3,701.7,0.617,0.218,0.705,31,2025-07-08T01:15:57.677357
mlr__cv_3517,MLR + CV,prob_3505,MathQA,L2,107,6,True,3.569,360.4,448.8,0.761,0.362,0.917,18,2025-06-12T15:08:13.115160
ird__cv_0273,IRD + CV,prob_9114,GSM8K,L2,110,4,True,3.597,375.9,514.0,0.773,0.333,0.766,14,2025-06-25T14:56:28.280718
ird__cv_2117,IRD + CV,prob_11325,GSM8K,L1,76,4,False,1.9,261.7,327.1,0.796,0.446,0.709,4,2025-06-07T14:53:50.682100
ird__mlr__cv_5102,IRD + MLR + CV,prob_10489,DIR-MWP-Test,L0,41,2,False,1.864,281.6,372.5,0.834,0.52,0.91,1,2025-07-05T14:52:22.980239
ird__mlr__cv_3758,IRD + MLR + CV,prob_8772,ASDiv,L2,121,3,True,4.368,395.5,545.3,0.787,0.233,0.738,12,2025-07-02T16:47:44.903387
ird__mlr__cv_0371,IRD + MLR + CV,prob_9802,DIR-MWP-Test,L2,82,3,True,3.938,420.4,607.0,0.824,0.27,0.892,12,2025-06-14T06:21:43.484412
ird__mlr__cv_5139,IRD + MLR + CV,prob_5031,ASDiv,L2,122,3,True,3.963,398.1,486.0,0.845,0.33,0.77,11,2025-06-18T17:31:57.128136
mlr__cv_4225,MLR + CV,prob_2366,MATH,L3,132,7,True,5.154,436.7,506.3,0.593,0.291,0.892,32,2025-07-06T08:17:33.936975
mlr__cv_0784,MLR + CV,prob_2806,MAWPS,L3,131,5,True,5.066,418.9,519.0,0.585,0.28,0.905,21,2025-07-08T16:58:23.058052
ird__mlr__cv_0934,IRD + MLR + CV,prob_11498,MAWPS,L1,57,3,False,2.083,354.6,409.9,0.833,0.533,0.88,6,2025-07-05T05:06:54.016096
ird__mlr_5391,IRD + MLR,prob_8480,MAWPS,L3,160,5,True,5.929,443.6,530.0,0.587,0.268,0.852,24,2025-06-09T17:21:58.748584
ird__mlr__cv_4909,IRD + MLR + CV,prob_7344,MathQA,L0,33,1,False,1.241,306.4,377.9,0.818,0.777,0.75,1,2025-07-04T20:57:04.524262
ird__mlr__cv_0548,IRD + MLR + CV,prob_11878,Math23K,L3,120,9,True,8.464,549.6,729.6,0.707,0.126,0.934,47,2025-06-24T17:28:43.664939
mlr__cv_1488,MLR + CV,prob_9225,MAWPS,L3,145,6,True,5.694,422.4,619.7,0.648,0.176,0.917,26,2025-06-28T01:54:51.243912
ird__cv_5628,IRD + CV,prob_8972,SVAMP,L1,60,4,False,1.903,293.0,412.1,0.839,0.54,0.915,5,2025-06-09T04:27:42.916128
ird__mlr__cv_2281,IRD + MLR + CV,prob_10808,SVAMP,L2,83,5,True,4.6,447.0,617.5,0.777,0.255,0.729,23,2025-07-04T06:53:49.290450
mlr__cv_1725,MLR + CV,prob_0941,GSM8K,L2,86,6,True,3.203,364.3,427.6,0.814,0.42,0.943,19,2025-06-09T10:49:00.176435
ird__mlr__cv_6145,IRD + MLR + CV,prob_3090,MathQA,L3,137,6,True,7.268,515.7,691.6,0.668,0.225,0.943,33,2025-06-30T13:20:52.093043
